Insult,Date,Comment
0.28004079789836162,20120603163526Z,"""like this if you are a tribe fan"""
0.57874176627358798,20120531215447Z,"""you're idiot......................."""
0.32596630826142886,20120823164228Z,"""I am a woman Babs, and the only ""war on women"" I see is coming from jackazzes like you.\xa0 I don't need your protection or your ignorant rhetoric masquerading as representing my best interests.\xa0 """
0.33157635475974834,20120826010752Z,"""WOW & YOU BENEFITTED SO MANY WINS THIS YEAR FROM HIS BAT NICE STUPID"""
0.43477716002932504,20120602223825Z,"""haha green me red you now loser whos winning now moron"""
0.22709119018792878,20120603202442Z,"""\nMe and God both hate-faggots.\n\nWhat's the difference between a-fag-and a refrigerator?\nRefrigerators don't fart when you put the meat in."""
0.38015574232693433,20120603163604Z,"""Oh go kiss the ass of a goat....and you DUMMYCRAPS insult veterans....even YOUR Coward-Incompetent-Chief.....everyone of YOU ARE the enemy....and you'll ALL fall.....and hard too BOY."""
0.27395081745995542,20120602223902Z,"""Not a chance Kid, you're wrong."""
0.18728207686597062,20120528064125Z,"""On Some real Shit FUck LIVE JASMIN!!!"""
0.2690500144486116,20120603071243Z,"""ok but where the hell was it released?you all copy articles from each pther but did anyone do the fucking search to tell us where the fuck was it released?fuck it."""
0.31379379585588202,20120531222107Z,"""\xa0@CrankyVince has found our slice of the Internets!\xa0 FUCK YOU."""
0.55519178986394158,20120602124231Z,"""\xa0HAHAHAHAH, you are a delusional moron."""
0.1830020163275117,20120531213632Z,"""There you are, been missing you.  How are you doing, feeling better?"""
0.35093195139596689,20120826163900Z,"""wenttoau\n\nHe made a prediction just like you, but he doesn't know anything about football. That makes sense. Pffft! You like to dish it out about Bama, but let someone say something about auburn and you start crying, ""idiots"". """
0.33756601946928966,20120824113742Z,"""KATHY LEE....SHUT YOUR PIE HOLE...AND WHATS WITH THAT FACE AND FISH LIPS....DUMB ARSE"""
0.62963607333481308,20120528193938Z,"""You're a crank."""
0.33239397709773028,20120602093617Z,"""Come on oppa you're a man. XD"""
0.39198852647909121,20120531011755Z,"""I like your enthusiasm and initiative. You're a real go getter."""
0.54513830710307865,20120603034157Z,"""Juggalo you suck at trolling """
0.15240455786612919,20120528204217Z,"""you seem a very eloquent, grounded and educated person.\xa0"""
0.1821507446492743,20120531032438Z,"""Its a wild wild world, keep your dirty fingers off of my human rights."""
0.30272240307953152,20120602003811Z,"""Are you about to recapture your swag?"""
0.28531215068710952,20120528234413Z,"""no shit.. you must be a\xa0genius\xa0"""
