Insult,Date,Comment
0.24028646247835314,20120603163526Z,"""like this if you are a tribe fan"""
0.56047168131954361,20120531215447Z,"""you're idiot......................."""
0.35276900174803894,20120823164228Z,"""I am a woman Babs, and the only ""war on women"" I see is coming from jackazzes like you.\xa0 I don't need your protection or your ignorant rhetoric masquerading as representing my best interests.\xa0 """
0.35804398167117468,20120826010752Z,"""WOW & YOU BENEFITTED SO MANY WINS THIS YEAR FROM HIS BAT NICE STUPID"""
0.44240183048306303,20120602223825Z,"""haha green me red you now loser whos winning now moron"""
0.22551277262137298,20120603202442Z,"""\nMe and God both hate-faggots.\n\nWhat's the difference between a-fag-and a refrigerator?\nRefrigerators don't fart when you put the meat in."""
0.39496782284099763,20120603163604Z,"""Oh go kiss the ass of a goat....and you DUMMYCRAPS insult veterans....even YOUR Coward-Incompetent-Chief.....everyone of YOU ARE the enemy....and you'll ALL fall.....and hard too BOY."""
0.24640640482086612,20120602223902Z,"""Not a chance Kid, you're wrong."""
0.14700087329930617,20120528064125Z,"""On Some real Shit FUck LIVE JASMIN!!!"""
0.35125851999843238,20120603071243Z,"""ok but where the hell was it released?you all copy articles from each pther but did anyone do the fucking search to tell us where the fuck was it released?fuck it."""
0.34874998789548739,20120531222107Z,"""\xa0@CrankyVince has found our slice of the Internets!\xa0 FUCK YOU."""
0.64671724466155234,20120602124231Z,"""\xa0HAHAHAHAH, you are a delusional moron."""
0.17760843671187732,20120531213632Z,"""There you are, been missing you.  How are you doing, feeling better?"""
0.37793539812123583,20120826163900Z,"""wenttoau\n\nHe made a prediction just like you, but he doesn't know anything about football. That makes sense. Pffft! You like to dish it out about Bama, but let someone say something about auburn and you start crying, ""idiots"". """
0.41247479132778947,20120824113742Z,"""KATHY LEE....SHUT YOUR PIE HOLE...AND WHATS WITH THAT FACE AND FISH LIPS....DUMB ARSE"""
0.5848419834869315,20120528193938Z,"""You're a crank."""
0.31399075262575166,20120602093617Z,"""Come on oppa you're a man. XD"""
0.39936173740007536,20120531011755Z,"""I like your enthusiasm and initiative. You're a real go getter."""
0.52936980651196552,20120603034157Z,"""Juggalo you suck at trolling """
0.15848139722387086,20120528204217Z,"""you seem a very eloquent, grounded and educated person.\xa0"""
0.21339970028745509,20120531032438Z,"""Its a wild wild world, keep your dirty fingers off of my human rights."""
0.32705717145924235,20120602003811Z,"""Are you about to recapture your swag?"""
0.32703969713680314,20120528234413Z,"""no shit.. you must be a\xa0genius\xa0"""
0.097472236754554659,20120823151417Z,"""N\xe3o tenho a m\xednima paci\xeancia pra esse tipo de babaca que acha que se existe um problema grave acontecendo ningu\xe9m pode nem ligar a tv pra ver uma novela. Tem que viver em fun\xe7\xe3o de mensa\xe7\xe3o, corrup\xe7\xe3o, greve, blablabla. Saco."""
0.1605468412732651,20120531043929Z,"""are you on 'roids by chance?"""
0.75788920436666662,20120531185334Z,"""\xa0You are a disgusting human being"""
0.23935467239314698,20120531045417Z,"""you are well versed when it may be on. \xa0Must be one of your favs if you know those details."""
0.19436341323272269,20120531044152Z,"""we?  you and the mouse in your pocket?"""
0.13103734939005054,20120531032755Z,"""glad you realize this :P\n\nkidding. """
0.27606381577581357,20120603174414Z,"""Damn! You would rock this so hard!"""
0.26818709629325072,20120603183334Z,"""In your face Cano haters """
0.31203587932140903,20120602030742Z,"""WHAT FOUL ARE YOU KIDDING!!!!!!!!"""
0.34685034364315009,20120529031643Z,"""You would know alot about rolls, fat boy"""
0.1711426168561152,20120531043949Z,"""You look pretty damn good! ^_^"""
0.51944981198602136,20120601203416Z,"""You are a moron. I am a computer guy that has my own company. My mouth will get me in trouble? I doubt it. Stupid M F er.\n\nAgain, what is the name of your other account? I know, you do not want say...\nDouche bag."""
